subject,predicate,object,doc_id,sentence
Average demand per vehicle,SET_TO_DOUBLE,over the next decade,doc_33,Their analysis shows that the average demand per vehicle is set to double over the next decade resulting in a 63.5-fold increase in demand by 2031.
overall sentiment score,DROPPED,40,doc_34,"the overall sentiment score dropping to 40, down from 42 in Q2 and 45 last year."
independent dealers,FELL,to 39,doc_34,independent dealers fell to 39.
Sales of EVs in the US,GROWN,"from nearly 65,000 vehicles sold in 2017 to more than 800,000 vehicles in 2022",doc_35,"Since 2016, sales of EVs in the US have grown – from nearly 65,000 vehicles sold in 2017, to more than 800,000 vehicles in 2022."
EV sales,ROSE,51% in the first half of 2023,doc_35,"Data from auto analytics firm Motor Intelligence showed EV sales rose 51% in the first half of 2023, following the upwards trend."
The average electric car in 2022,COST,"more than $60,000 (£48,784)",doc_35,"The average electric car in 2022 cost more than $60,000 (£48,784)."
The average Tesla owner in 2022,HAD,"a household income near $150,000 (£121,200)",doc_35,"the average Tesla owner according to Market Research firm Hedges & Company, had a household income near $150,000 (£121,200) in 2022."
Public chargers,EXPECTED TO INCREASE TO,nearly 1 million by 2030,doc_36,"This is expected to increase the number of public chargers from about 160,000 in 2023 to nearly 1 million by 2030."
Vehicle purchases,PROVIDE,about 3% of real GDP growth in the U.S.,doc_37,"Vehicle purchases are also a driving force of overall consumer spending, providing about 3% of real GDP growth in the U.S."
The ongoing car chip shortage,CONTINUES TO IMPACT,the auto industry’s production capacity,doc_37,"The ongoing car chip shortage, which originated during the COVID-19 pandemic, continues to impact the auto industry’s production capacity."
American grid,ADDS,"1,250 megawatts of renewable energy",doc_38,"adding 1,250 megawatts of renewable energy to the American grid."
Federal government,CHARGES,18 cents in taxes,doc_38,The federal government charges roughly 18 cents in taxes for every gallon of gasoline you purchase.
Average gasoline-powered car,IS,less than 30 percent efficient,doc_38,Your average gasoline-powered car is less than 30 percent efficient.
General Motors,IS INVESTING,$27 billion,doc_38,General Motors is investing $27 billion to launch EVs.
EVs,EXPECTED_TO_ACCOUNT_FOR,23% of all new car sales worldwide by 2025,doc_39,"According to a report by BloombergNEF, EVs are expected to account for 23% of all new car sales worldwide by 2025."
EV owners in Singapore,CITE_TOP_REASONS,"availability of charging stations (44%), brand reputation (41%), and environmental impact (41%)",doc_39,"Meanwhile, EV owners in Singapore have different motivators, citing the availability of charging stations (44%), brand reputation (41%), and environmental impact (41%) as their top reasons."
52% of prospective buyers in Singapore,TAKE_INTO_ACCOUNT,the price of an EV model and the potential cost savings on fuel and maintenance,doc_39,"Meanwhile, in Singapore, 52% of prospective buyers take into account the price of an EV model and the potential cost savings on fuel and maintenance."
49% of potential buyers in the US,ARE_MOST_CONCERNED_ABOUT,the availability of charging stations,doc_39,"In contrast, potential buyers in the US are most concerned about the availability of charging stations (49%)."
35% in Singapore,PREFER_HYBRID_CAR_OVER_EV,hybrid car,doc_39,"In fact, 35% in Singapore and 33% in the UK prefer a hybrid car over an EV for their next purchase."
Goldman Sachs Research analyst Kota Yuzawa,SAYS,the team’s bear case for EV sales is becoming more likely,doc_40,Goldman Sachs Research analyst Kota Yuzawa says the team’s bear case for EV sales is becoming more likely.
EV penetration,ACCELERATES,rapid charging station infrastructure issues,doc_40,"As EV penetration accelerates, rapid charging station infrastructure issues have emerged as a tangible problem."
Sales of HEVs and PHEVs,HAVE BEEN,accelerating,doc_40,Sales of HEVs and PHEVs have been accelerating amid the slowdown in EVs.
Global HEV sales,COULD EXCEED,the outlook by 1 to 2 million vehicles,doc_40,"As a result, we believe global HEV sales could exceed the outlook by 1 to 2 million vehicles."
China,AIMS,to expand domestic EV uptake and export EVs to overseas markets,doc_40,"With excess production capacity currently at more than 5 million vehicles, China aims both to expand domestic EV uptake and export EVs to overseas markets."
Southeast Asia market,HAS BEEN,a major export destination for Chinese EVs since 2023,doc_40,The Southeast Asia market has been a major export destination for Chinese EVs since 2023.
Goldman Sachs,IS NOT PROVIDING,"any financial, economic, legal, investment, accounting, or tax advice",doc_40,"Goldman Sachs is not providing any financial, economic, legal, investment, accounting, or tax advice through this article or to its recipient."
SEIA,EARNED_AWARD,Best Nonprofit to Work For,doc_41,earned a Best Nonprofit to Work For award by the Nonprofit Times.
Texas landowners,WILL_RECEIVE,$29.5 billion,doc_41,and pay Texas landowners $29.5 billion — over the projects’...
solar industry,GENERATED_INVESTMENT,over $60 billion,doc_41,"In 2023, the solar industry generated over $60 billion of private investment in the American economy."
China,WAS,Tesla’s second-largest market by sales in 2022,doc_42,China was Tesla’s second-largest market by sales in 2022.
China,AT_THE_GLOBAL_FOREFRONT_OF,the electric vehicle (EV) and EV battery industries,doc_43,China is at the global forefront of the electric vehicle (EV) and EV battery industries.
Chinese firms,PRODUCE,nearly two-thirds of the world’s EVs,doc_43,Its firms produce nearly two-thirds of the world’s EVs and more than three-quarters of EV batteries.
BYD,HAD,17 percent of the global BEV market,doc_43,"BYD with 17 percent, GAC Aion with 5.2 percent, SAIC-GM-Wuling with 4.9 percent, and Volkswagen with 4.6 percent."
China,CHANNELED,$230.9 billion in subsidies and other support to its domestic EV sector,doc_43,"From 2009 to 2023 alone, China channeled $230.9 billion in subsidies and other support to its domestic EV sector."
American consumers,SAVED,"more than $1 billion in upfront costs on their purchase of more than 150,000 clean vehicles",doc_43,"Department of the Treasury and Internal Revenue Service announced that American consumers had saved more than $1 billion in upfront costs on their purchase of more than 150,000 clean vehicles since January 1, 2024."
Interest in purchasing an EV,DECREASED_BY,4 percentage points,doc_44,The share of the public interested in purchasing an EV is down 4 percentage points from May 2022.
Biden administration,SET_ASIDE,$5 billion,doc_44,"In September 2022, the Biden administration set aside $5 billion to create a network of EV charging stations."
Republicans opposing phasing out gas-powered vehicles,PERCENTAGE,84%,doc_44,but 84% of Republicans oppose this.
94% of American travelers,PLANS_TO_TRAVEL,in the next six months,doc_45,a survey-high 94% of American travelers saying they have plans to go somewhere in the next six months!
79% of respondents,RESPONSIBILITIES_EXPANDED,in recent years,doc_45,we found 79% of respondents noticed the scope of their responsibilities has expanded in recent years.
EIA,USES,forms to collect energy data,doc_46,"Forms EIA uses to collect energy data including descriptions, links to survey instructions, and additional information."
EIA,PUBLISHES,reports requested by congress,doc_46,Reports requested by congress or otherwise deemed important.
Monthly Energy Review,HAS,current and historical changes,doc_46,A record of current and historical changes to MER data is available on the What's New in the Monthly Energy Review—Content Changes webpage.
EIA,PROVIDES,energy forecasts,doc_46,"Monthly and yearly energy forecasts, analysis of energy topics, financial analysis, congressional reports."
EIA,INCLUDES,maps by energy source and topic,doc_46,"Maps by energy source and topic, includes forecast maps."
Cox Automotive Dealer Sentiment Index (CADSI),REMAINED_STABLE,Q1 to Q2 2024,doc_47,The latest Cox Automotive Dealer Sentiment Index (CADSI) remained stable from Q1 to Q2 2024 despite dealer uncertainty in the market and economy.
Q2 current market index score,INDICATES,most U.S. auto dealers see the market as weak,doc_47,The Q2 current market index score of 42 indicates most U.S. auto dealers see the market as weak.
used-vehicle sales index,REMAINS_UNDER,50 threshold,doc_47,"Conversely, the used-vehicle sales index remains under the 50 threshold, indicating a weak market."
Sentiment about electric vehicle (EV) sales,FELL_TO,a new low in Q2,doc_47,Sentiment about electric vehicle (EV) sales fell to a new low in Q2.
majority of dealers,SEE,existing tax credits as having a positive impact on EV sales,doc_47,a majority of dealers (with an index score of 57) see the existing tax credits as having a positive impact on EV sales.
Franchised dealers’ view of the economy,HAS_BEEN,consistent for three consecutive quarters,doc_47,"Franchised dealers’ view of the economy, at 46, has been consistent for three consecutive quarters."
Cox Automotive,IS_A_SUBSIDIARY_OF,Cox Enterprises Inc.,doc_47,"Cox Automotive is a subsidiary of Cox Enterprises Inc., a privately owned, Atlanta-based company with $22 billion in annual revenue."
2021 Infrastructure Investment and Jobs Act,FUNDS,$7.5 billion in EV charging infrastructure,doc_48,Electric transportation got a jolt of support from the 2021 Infrastructure Investment and Jobs Act — which funds $7.5 billion in EV charging infrastructure.
California,ANNOUNCES,it will ban the sale of new internal combustion engine-powered vehicles by 2035,doc_48,California announced it will ban the sale of new internal combustion engine-powered vehicles by 2035.
EV charging market,COULD GROW,nearly tenfold to satisfy the charging needs of an estimated 27 million EVs on the road by 2030,doc_48,"According to a PwC analysis, the EV charging market could — and will need to — grow nearly tenfold to satisfy the charging needs of an estimated 27 million EVs on the road by 2030."
number of charge points in the US,FORECAST TO RISE,from about 4 million currently to 35 million in 2030,doc_48,"The number of charge points in the US is forecast to rise from about 4 million currently to 35 million in 2030, according to a PwC analysis."
single-unit and multi-unit residential segments,WILL ACCOUNT FOR,about 80% of all charge points by 2030,doc_48,"We forecast that single-unit and multi-unit residential segments will account for about 80% of all charge points (22 million and 6 million, respectively) by 2030."
number of EVs in the US,WILL CLIMB,to 27 million by 2030 and 92 million by 2040,doc_48,We forecast that the number of EVs in the US will climb a steep hockey-stick trajectory to 27 million by 2030 and 92 million by 2040.
2021 Infrastructure Investment and Jobs Act,FUNDED,$7.5 billion to support the buildout of a national public electric vehicle (EV) charging network,doc_48,"The 2021 Infrastructure Investment and Jobs Act funded $7.5 billion to support the buildout of a national public electric vehicle (EV) charging network, particularly along interstate highways."
businesses,ARE_EMPOWERED_TO_ADAPT,findings of this research,doc_49,"The findings of this research carry significant value for the UK government and businesses, empowering them to adapt and innovate based on forecasts to navigate the challenges posed by Brexit and COVID-19."
"income, gross domestic product (GDP), and trade",ARE_FORECASTED,Figs 21–23,doc_49,"Figs 21–23 show the forecasts of income, gross domestic product (GDP), and trade, respectively."
manuscript,WILL_REMEMBER_UNDER,strict press embargo,doc_49,Your manuscript will remain under strict press embargo until 2 pm Eastern Time on the date of publication.
reviewer comments,ARE_ACCESSIBLE_VIA,submission site,doc_49,"If reviewer comments were submitted as an attachment file, they will be attached to this email and accessible via the submission site."
data,ARE_WITHIN,the paper and its Supporting information files,doc_49,All relevant data are within the paper and its Supporting information files.
international equities,OFFER,investors the chance to diversify beyond expensive U.S.,doc_51,"Despite the risks, international equities offer investors the chance to diversify beyond expensive U.S."
international equities,ARE_UP,7%,doc_51,"While international equities are up a robust 7% so far in 2024, the gap with the U.S."
China,REMAINS_STUCK_IN,cyclical storm,doc_51,"Despite coordinated stimulus leading to a 30% tactical rebound in Chinese equities in 3Q, China remains stuck in its cyclical storm."
India,IS_EXPECTED_TO_MAINTAIN,strong earnings momentum,doc_51,India is expected to maintain strong earnings momentum due to falling rates and robust services export growth.
Mexico,IS_LIKELY_TO_EXPERIENCE,continued volatility next year,doc_51,"Lastly, Mexico is likely to experience continued volatility next year as the 2026 USMCA renegotiations draw near."
friendshoring,CAN_BENEFIT,Southeast Asian markets,doc_51,"Additionally, friendshoring can benefit Southeast Asian markets as well."
tariffs,WILL_HINGE_ON,"the timing, scope and execution by the incoming U.S.",doc_51,"In particular, the impact of tariffs on the already fragile global economy will hinge on the timing, scope and execution by the incoming U.S."
bitcoin ETPs,FIRST_YEAR_MARKET_DEMAND,investor trends,doc_52,"Discover the first-year market demand and investor trends of bitcoin ETPs, and what the future may hold."
2024 Midyear Investment Directions,OUTLINES,"investment opportunities across asset classes, regions, and strategies",doc_52,"2024 Midyear Investment Directions outlines investment opportunities across asset classes, regions, and strategies based on our market and macroeconomic views."
iShares Spring 2024 Investment Directions,OUTLINES,key opportunities across asset classes and regions,doc_52,iShares Spring 2024 Investment Directions outlines key opportunities across asset classes and regions based on our market and macroeconomic views.
2025 Investment Directions,NAVIGATING,Market Trends,doc_52,2025 Investment Directions: Navigating Market Trends
Flow & Tell with iShares,OCTOBER_2024_ETF_FLOWS,"Kristy Akullian, CFA",doc_52,"Nov 04, 2024 | Kristy Akullian, CFA"
Flow & Tell with iShares,SEPTEMBER_2024_ETF_FLOWS,"Kristy Akullian, CFA",doc_52,"Oct 08, 2024 | Kristy Akullian, CFA"
Flow & Tell with iShares,SUMMER_2024_ETF_FLOWS,"Kristy Akullian, CFA",doc_52,"Sep 05, 2024 | Kristy Akullian, CFA"
"BlackRock, Inc.",COPYRIGHT,2025,doc_52,"© 2025 BlackRock, Inc."
Energy stocks,FACE_HEADWINDS,an environment where oil supplies outpace demand,doc_53,Energy stocks continue to face headwinds in an environment where oil supplies outpace demand.
S&P 500 energy sector,FELL_BY,nearly 10% in December 2024,doc_53,The S&P 500 energy sector fell by nearly 10% in December 2024.
U.S.,IS_NOW,the world’s largest oil producer,doc_53,"is now the world’s largest oil producer, with current production reaching record levels."
Energy sector,REPRESENTED,approximately 15% of the broader U.S. in the 1970’s,doc_53,"In the 1970’s, the energy sector represented approximately 15% of the broader U.S."
Renewable energy sources,MAKE_UP_LESS_THAN,25% of U.S.,doc_53,But renewables make up less than 25% of U.S.
European EV sales,OUTSTRIPPED,China,doc_54,"In fact, in the first nine months of 2020, European EV sales outstripped those in China for the first time in at least five years."
UK EV sales,ECLIPSED,diesel sales,doc_54,"In the UK, in September 2020, EV sales eclipsed diesel sales for the first time, though only just."
eMobility market,WILL_BE_WORTH,US$210b in Europe,doc_54,"EY analysts predict that the market for eMobility, which includes revenues from the burgeoning ancillary market in batteries, vehicles, charging infrastructure, etc., will be worth US$210b in Europe and US$72b in the US by 2030."
AB,FULLY_INVESTED_IN,being a firm that clients can trust to deliver better outcomes,doc_55,"At AB, we’re fully invested in being a firm that clients can trust to deliver better outcomes."
China,SURPRISED_MARKETS_BY,cutting short- and long-term interest rates immediately after the Communist Party’s third plenary session in July,doc_55,China surprised markets by cutting short- and long-term interest rates immediately after the Communist Party’s third plenary session in July.
China,ECONOMY_STALLING,true,doc_56,"China’s economy is stalling, the country is proving a much trickier market for Western brands, and geopolitical risk looms large."
Electric Vehicles,ACCOUNT_FOR_VEHICLES_SOLD,60–70%,doc_56,with EVs accounting for 60–70% of vehicles sold.
China,POLYSILICON_MANUFACTURING_CAPACITY,80%,doc_56,"it is estimated to have around 80% of the world’s polysilicon, wafer, cell, and module manufacturing capacity."
Global sales of baijiu,ESTIMATED_AT,US$167 billion in 2023,doc_56,"In 2023, global sales of baijiu were estimated at US$167 billion."
Eurozone GDP growth,SURPRISED,0.4%,doc_57,Eurozone GDP growth surprised with 0.4% (vs. expected recession)
China's GDP growth,EXCEEDED,5.2%,doc_57,China's GDP growth exceeded projections at 5.2%
Electric Vehicle sales,SOARED,9.49 million units,doc_57,"Electric Vehicle sales soared, with China leading at 9.49 million units"
U.S. inflation,MODERATED,3.1%,doc_57,"inflation has moderated to around 3.1%, a significant decrease compared to the highs seen in 2022"
Growth in Asia and the Pacific,OUTPERFORMED,5.0 percent,doc_57,"Growth in Asia and the Pacific outperformed expectations in late 2023, reaching 5.0 percent for the year"
Growth in Asia and the Pacific,PROJECTED_TO_SLOW_MODESTLY_TO,4.5 percent,doc_57,"In 2024, growth is projected to slow modestly to 4.5 percent"
S&P 500,REACHED,new highs,doc_57,the S&P 500 has reached new highs
Carl Kawaja,IS,an equity portfolio manager with 36 years of investment industry experience,doc_58,Carl Kawaja is an equity portfolio manager with 36 years of investment industry experience (as of 12/31/2023).
Irfan Furniturewala,IS,an equity portfolio manager with 24 years of industry experience,doc_58,Irfan Furniturewala is an equity portfolio manager with 24 years of industry experience (as of 12/31/23).
Drew Macklis,IS,an equity investment analyst with seven years of industry experience,doc_58,Drew Macklis is an equity investment analyst with seven years of industry experience (as of 12/31/2023).
Julie Wang Chou,IS,an equity investment analyst who covers European luxury goods and telecoms,doc_58,Julie Wang Chou is an equity investment analyst who covers European luxury goods and telecoms.
Capital Group,MANAGES,equity assets through three investment groups,doc_58,Capital Group manages equity assets through three investment groups.
Earnings growth,REFERS TO,annual change in earnings per share,doc_58,Earnings growth refers to annual change in earnings per share.
Relative return,REPRESENTED BY,the difference in annualised cumulative total return between the S&P Global Luxury Index and the MSCI AC World Index starting 31 January 2019,doc_58,Relative return represented by the difference in annualised cumulative total return between the S&P Global Luxury Index and the MSCI AC World Index starting 31 January 2019.
Russell Investments,RESPONSIBLE_FOR,investment decisions,doc_59,Neither Russell Investments nor its affiliates are responsible for investment decisions made with respect to such investments or for the accuracy or completeness of information about such investments.
OPEC+ countries,AGREEMENT_TO_EXTEND,production cuts until the end of 2024,doc_59,oil prices are expected to remain elevated in the wake of OPEC+ countries’ agreement to extend production cuts until the end of 2024
Hamas,ATTACK_ON,Israel,doc_59,uncertainty in the Middle East following Hamas’ attack on Israel are also continuing to put pressure on inflation and broader investor sentiment.
Japan,POSITIVE_MACRO_AND_GOVERNANCE_REFORMS,reforms,doc_59,Positive macro and governance reforms in Japan
China,SENTIMENT,mixed views,doc_59,Has China bottomed out?
UK equities,DISCOUNTED,steeply,doc_59,UK equities steeply discounted
Consumer environment,FAVORS,companies that offer value,doc_59,Consumer environment favors companies that offer value
Drug innovation,DISRUPTIVE,highly,doc_59,Drug innovation is highly disruptive
Tesla,DELIVERED,1.8 million cars worldwide,doc_61,"In 2023, Tesla delivered its highest total of vehicles yet, 1.8 million cars worldwide, keeping its position as the top-selling EV brand globally."
BYD,REPORTED_REVENUE,$60.4 billion,doc_61,"In 2023, the company reported a total revenue of $60.4 billion and a net profit of $1.5 billion."
BYD,EXCEEDED_EV_SALES,1.8 million units,doc_61,"BYD's EV sales exceeded 1.8 million units, marking a 70% increase from the previous year and putting the company near Tesla in worldwide battery-electric vehicle sales."
Ford,REPORTED_EV_SALES_INCREASE,72%,doc_61,Ford's EV sales for the first half of 2024 represented a 72% increase year over year.
GM,REPORTED_RETAIL_SALES,"38,355 EVs",doc_61,"GM reported retail sales of 38,355 EVs in the first half of 2024 and is projecting more growth during the rest of the year."
NIO,DELIVERED_VEHICLES,"57,373 vehicles",doc_61,"In the second quarter of 2024, NIO delivered 57,373 vehicles."
Volkswagen,PROJECTED_EUROPEAN_EV_SALES,70%,doc_61,"By 2030, Volkswagen said it thinks at least 70% of its European sales will come from its EVs."
Gasoline prices,HIT,a national average price of $5 a gallon,doc_62,"Most Americans felt the pain of higher oil prices last summer when gasoline prices shot up, hitting a national average price of $5 a gallon."
Current policies and reasonable forecasts of EV adoption,SUGGEST,50% of the vehicles on the road in 2040 will be EVs,doc_62,Current policies and reasonable forecasts of EV adoption suggest that 50% of the vehicles on the road in 2040 will be EVs.
Electric grid,IS_POWERED_BY,"a mix of natural gas (39%), coal (20%), nuclear (18%), and renewables (23%)",doc_62,"electric grid is powered by a mix of natural gas (39%), coal (20%), nuclear (18%), and renewables (23%)"
China,BECAME,a world leader in making and buying EVs,doc_63,"Before most people could realize the extent of what was happening, China became a world leader in making and buying EVs."
China,WAS,the world’s largest market for EVs in 2022,doc_63,making 2022 the eighth consecutive year in which China was the world’s largest market for EVs.
US,SOLD,"about 800,000 EVs in 2022",doc_63,"For comparison, the US only sold about 800,000 EVs in 2022."
Wan Gang,BECAME,China’s minister of science and technology in 2007,doc_63,"Then, in 2007, the industry got a significant boost when Wan Gang, an auto engineer who had worked for Audi in Germany for a decade, became China’s minister of science and technology."
Chinese government,POURED,over 200 billion RMB ($29 billion) into relevant subsidies and tax breaks,doc_63,"From 2009 to 2022, the government poured over 200 billion RMB ($29 billion) into relevant subsidies and tax breaks."
EVs sold in China in 2022,ACCOUNTED FOR,over half of global EV sales,doc_63,the more than 6 million EVs sold in China in 2022 accounted for over half of global EV sales.
BYD,SURPASSED,Tesla,doc_64,BYD has surpassed Tesla in the last Quarter 2024 as top-selling electric car seller.
Tesla,HOLDS_MARKET_SHARE,50.9%,doc_64,"As of recent data, Tesla holds a significant portion of the EV market share in the United States, with approximately 50.9% of the EV market as of the last quarter of 2023."
China,LEADS_GLOBAL_ELECTRIC_CAR_SALES,60%,doc_64,with China leading the way with 60% of global electric car sales.
Tesla’s Gigafactory,GRANTED,beneficial tax rate from the Shanghai government,doc_65,Tesla’s Gigafactory was granted a beneficial tax rate from the Shanghai government.
China,MADE,16 percent of batteries and vehicles sold in Europe in 2022,doc_65,where 16 percent of batteries and vehicles sold were made in China in 2022.
Thailand,WAS,the third largest recipient of Chinese EV exports in 2022,doc_65,Thailand was the third largest recipient of Chinese EV exports by quantity in 2022.
20 percent of electric car models,WERE_PRICED_AT,"less than $15,000 in 2022",doc_65,"as an example in 2022, 20 percent of electric car models on offer in China were priced at less than $15,000."
China,AT_THE_GLOBAL_FOREFRONT_OF,the electric vehicle (EV) and EV battery industries,doc_66,China is at the global forefront of the electric vehicle (EV) and EV battery industries.
Chinese firms,PRODUCE,nearly two-thirds of the world’s EVs,doc_66,Its firms produce nearly two-thirds of the world’s EVs and more than three-quarters of EV batteries.
BYD,HAD,17 percent of the global BEV market,doc_66,"BYD with 17 percent, GAC Aion with 5.2 percent, SAIC-GM-Wuling with 4.9 percent, and Volkswagen with 4.6 percent."
China,CHANNELED,$230.9 billion in subsidies and other support to its domestic EV sector,doc_66,"From 2009 to 2023 alone, China channeled $230.9 billion in subsidies and other support to its domestic EV sector."
American consumers,SAVED,"more than $1 billion in upfront costs on their purchase of more than 150,000 clean vehicles",doc_66,"Department of the Treasury and Internal Revenue Service announced that American consumers had saved more than $1 billion in upfront costs on their purchase of more than 150,000 clean vehicles since January 1, 2024."
electrified vehicle market share,REACHED,a new height,doc_67,the electrified vehicle market share reached a new height.
ICE sales,FELL,9%,doc_67,ICE sales fell by 9% in the same period.
PHEV sales in China,UP,98%,doc_67,"PHEV sales in China, up by 98% in Q2 2024 vs."
full and mild hybrids sales,GROWTH,21%,doc_67,"sales of full and mild hybrids, which grew by 21% in Q2 2024 vs."
hybrid sales growth in France,WAS,40%,doc_67,Hybrid sales growth was particularly apparent in France (40%) and Spain (27%).
The Motley Fool,FOUNDED_IN,1993,doc_68,"Founded in 1993, The Motley Fool is a financial services company dedicated to making the world smarter, happier, and richer."
The Motley Fool,REACHES,millions of people every month,doc_68,"The Motley Fool reaches millions of people every month through our premium investing solutions, free guidance and market analysis on Fool.com, personal finance education, top-rated podcasts, and non-profit The Motley Fool Foundation."
China's BYD,IS_LARGEST_EV_MANUFACTURER,world by unit sales,doc_68,China's BYD (OTC:BYDDY) is the largest EV manufacturer in the world by unit sales and is the fastest growing major automaker.
Tesla,IS_MEMBER_OF,S&P 500 index,doc_68,"Tesla, Ford, and General Motors are all members of the S&P 500 index."
General Motors,IS_MEMBER_OF,S&P 500 index,doc_68,"Tesla, Ford, and General Motors are all members of the S&P 500 index."
Ford,IS_MEMBER_OF,S&P 500 index,doc_68,"Tesla, Ford, and General Motors are all members of the S&P 500 index."
Automotive stocks,CAN_BE,important contributors to your investment portfolio,doc_68,Automotive stocks can be important contributors to your investment portfolio.
Deloitte,DELIVER,proprietary research,doc_69,Deloitte Insights and our research centers deliver proprietary research designed to help organizations turn their aspirations into action.
China,ANNOUNCED,an additional $378 million investment in charging infrastructure,doc_69,"China has made similar commitments, announcing an additional $378 million investment in charging infrastructure as part of a COVID-19 recovery plan."
EV subsidies and tax break policies,WERE_EXTENDED_TO,2022,doc_69,EV subsidies and tax break policies set to expire in 2020 were extended to 2022 in a direct response to the economic impact of COVID-19.
Governments,TRY_TO_MANAGE,potential lost fuel-tax revenues,doc_69,"Governments try to manage other concerns, such as potential lost fuel-tax revenues."
annual sales of electrified passenger vehicles,INCREASED_BY,more than 50 percent over sales in 2021,doc_70,"McKinsey analysis shows that annual sales of electrified passenger vehicles exceeded ten million units in 2022, marking an increase of more than 50 percent over sales in 2021."
